"","name","type","method","value"
"1","g6E06","numeric","FSelector_relief",0.116269382001987
"2","g1CNS607","numeric","FSelector_relief",0.108675711778578
"3","g6F05","numeric","FSelector_relief",0.0884872018291943
"4","g8C08","numeric","FSelector_relief",0.087784383932895
"5","g1int1356","numeric","FSelector_relief",0.0819516504856334
"6","g1int1","numeric","FSelector_relief",0.0812236357562081
"7","g1int536","numeric","FSelector_relief",0.0811748088183969
"8","g1int1751","numeric","FSelector_relief",0.0806556661102181
"9","g1int18","numeric","FSelector_relief",0.0796024650149306
"10","g1int481","numeric","FSelector_relief",0.0776051177315256
"11","g1int1765","numeric","FSelector_relief",0.0772826995881487
"12","g1int527","numeric","FSelector_relief",0.0768729606835312
"13","g1int383","numeric","FSelector_relief",0.0759425847564636
"14","g1int1791","numeric","FSelector_relief",0.0759087805726812
"15","g1int373","numeric","FSelector_relief",0.0758854056625064
"16","g1H06","numeric","FSelector_relief",0.0754103563742585
"17","g4B08","numeric","FSelector_relief",0.0749967715270041
"18","g1int1531","numeric","FSelector_relief",0.0747965427373919
"19","g2B08","numeric","FSelector_relief",0.0744706994949948
"20","g1int1788","numeric","FSelector_relief",0.0740872367323258
"21","g1int321","numeric","FSelector_relief",0.0740153380717784
"22","g1int401","numeric","FSelector_relief",0.0730522545660504
"23","g1int318","numeric","FSelector_relief",0.0728745447402818
"24","g4D09","numeric","FSelector_relief",0.0724069491646738
"25","g1CNS508","numeric","FSelector_relief",0.0721644672610751
"26","g1int92","numeric","FSelector_relief",0.0718561302129197
"27","g2F10","numeric","FSelector_relief",0.0710273177472016
"28","g2H04","numeric","FSelector_relief",0.0703233724709823
"29","g7F07","numeric","FSelector_relief",0.0702663016284409
"30","g1int522","numeric","FSelector_relief",0.0702360230045499
"31","g4B09","numeric","FSelector_relief",0.069238440461645
"32","g1int1778","numeric","FSelector_relief",0.0689208651933499
"33","g1F09","numeric","FSelector_relief",0.0687404098436584
"34","g8G03","numeric","FSelector_relief",0.0687038783955319
"35","g1int5","numeric","FSelector_relief",0.0678335851835996
"36","g11E03","numeric","FSelector_relief",0.0677424119656887
"37","g1int12","numeric","FSelector_relief",0.0667847053390017
"38","g1int1760","numeric","FSelector_relief",0.0665248284874569
"39","g1int355","numeric","FSelector_relief",0.0657638676925326
"40","g1int81","numeric","FSelector_relief",0.0656925335728067
"41","g1int363","numeric","FSelector_relief",0.0649567287715283
"42","g2E10","numeric","FSelector_relief",0.0640226270229104
"43","g4G08","numeric","FSelector_relief",0.0633501284147277
"44","g1CNS229","numeric","FSelector_relief",0.0632392752023414
"45","g1int1104","numeric","FSelector_relief",0.0631160592591792
"46","g1int374","numeric","FSelector_relief",0.0628177229034997
"47","g9D05","numeric","FSelector_relief",0.0622835311380701
"48","g5D12","numeric","FSelector_relief",0.0621534571520197
"49","g4F06","numeric","FSelector_relief",0.061909719643962
"50","g1int1355","numeric","FSelector_relief",0.0612598592885074
"51","g1CNS46","numeric","FSelector_relief",0.0610524018634496
"52","g1CNS123","numeric","FSelector_relief",0.0603522111960181
"53","g1int76","numeric","FSelector_relief",0.0599518235218964
"54","g1int426","numeric","FSelector_relief",0.0599111148103581
"55","g2C11","numeric","FSelector_relief",0.0597726824893646
"56","g1int25","numeric","FSelector_relief",0.0596702002056149
"57","g1E04","numeric","FSelector_relief",0.0596695752286099
"58","g1int460","numeric","FSelector_relief",0.0594907882719001
"59","g7B06","numeric","FSelector_relief",0.0594676787535651
"60","g1int320","numeric","FSelector_relief",0.0589165506991751
"61","g1int1740","numeric","FSelector_relief",0.058782857637267
"62","g1int779","numeric","FSelector_relief",0.0587812136597132
"63","g1int325","numeric","FSelector_relief",0.0587296655150739
"64","g2E02","numeric","FSelector_relief",0.058670898051826
"65","g4H10","numeric","FSelector_relief",0.0584833732645936
"66","g1int367","numeric","FSelector_relief",0.0583003314151993
"67","g11D11","numeric","FSelector_relief",0.0582988130653504
"68","g3H03","numeric","FSelector_relief",0.0582927400698255
"69","g4C09","numeric","FSelector_relief",0.0581208044363659
"70","g1int895","numeric","FSelector_relief",0.0576796454902934
"71","g1CNS95","numeric","FSelector_relief",0.0573202157175363
"72","g2A08","numeric","FSelector_relief",0.0570988253030967
"73","g1CNS174","numeric","FSelector_relief",0.0565521718194699
"74","g8C02","numeric","FSelector_relief",0.0561516139726187
"75","g1int1336","numeric","FSelector_relief",0.0561124507993131
"76","g11G08","numeric","FSelector_relief",0.0559881577012923
"77","g1int1061","numeric","FSelector_relief",0.0558725881690725
"78","g11C02","numeric","FSelector_relief",0.0556303708143671
"79","g11F02","numeric","FSelector_relief",0.0554093995199424
"80","g1int104","numeric","FSelector_relief",0.0550474913932046
"81","g1int366","numeric","FSelector_relief",0.0548299839911998
"82","g11G02","numeric","FSelector_relief",0.0547505520542948
"83","g9G05","numeric","FSelector_relief",0.0538768454920934
"84","g1int1335","numeric","FSelector_relief",0.0537004654073984
"85","g1int1354","numeric","FSelector_relief",0.0533644485448357
"86","g1int1750","numeric","FSelector_relief",0.0530896564158924
"87","g1int475","numeric","FSelector_relief",0.053007178284434
"88","g11A03","numeric","FSelector_relief",0.0528604067203963
"89","g1int1102","numeric","FSelector_relief",0.0525905722021533
"90","g1int523","numeric","FSelector_relief",0.0525810737564273
"91","g1CNS337","numeric","FSelector_relief",0.0525651019780244
"92","g1int1330","numeric","FSelector_relief",0.0522911994997516
"93","g1int375","numeric","FSelector_relief",0.0521331797631349
"94","g7C07","numeric","FSelector_relief",0.0520934341506472
"95","g3C02","numeric","FSelector_relief",0.0518133509385636
"96","g1C02","numeric","FSelector_relief",0.05177054917171
"97","g1int102","numeric","FSelector_relief",0.0513791594049137
"98","g3D09","numeric","FSelector_relief",0.0512377939967451
"99","g1int749","numeric","FSelector_relief",0.0504793283449447
"100","g11D02","numeric","FSelector_relief",0.0504586183283969
